job_title,company,location,salary,posting_time
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
,,,Not specified,Unknown
